起点id,终点id,序号,起点,终点,路径,长度/m
75539,75543,1,5,61,"5,b,61",987
75539,75543,2,5,61,"5,6,61",1014
75539,75543,3,5,61,"5,6,62,c,61",1569
75539,75543,4,5,61,"5,6,62,6,61",1704
75543,75538,1,2,61,"2,a,b,61",1327
75543,75538,2,2,61,"2,f,e,d,61",1463
75543,75538,3,2,61,"2,a,d,61",1536
75543,75538,4,2,61,"2,f,e,c,61",1665
75537,75540,1,1,5,"1,2,a,b,5",2106
75537,75540,2,1,5,"1,f,e,d,61,b,5",2820
75537,75540,3,1,5,"1,2,a,2,a,b,5",2826
75537,75540,4,1,5,"1,f,e,d,a,b,5",2829
75559,75556,1,1,61,"1,f,e,d,61",1833
75559,75556,2,1,61,"1,f,e,c,61",2035
75559,75556,3,1,61,"1,2,a,b,61",2053
75559,75556,4,1,61,"1,f,e,f,e,d,61",2093
75560,75561,1,1,5,"1,2,a,b,5",2106
75560,75561,2,1,5,"1,f,e,d,61,b,5",2820
75560,75561,3,1,5,"1,2,a,2,a,b,5",2826
75560,75561,4,1,5,"1,f,e,d,a,b,5",2829
75589,75587,1,5,62,"5,6,62",779
75589,75587,2,5,62,"5,b,61,c,62",1777
75589,75587,3,5,62,"5,6,61,c,62",1804
75589,75587,4,5,62,"5,b,61,6,62",1912
75591,75592,1,5,61,"5,b,61",987
75591,75592,2,5,61,"5,6,61",1014
75591,75592,3,5,61,"5,6,62,c,61",1569
75591,75592,4,5,61,"5,6,62,6,61",1704
75598,75600,1,2,5,"2,a,b,5",1380
75598,75600,2,2,5,"2,a,b,61,b,5",2314
75598,75600,3,2,5,"2,a,b,61,6,5",2341
75598,75600,4,2,5,"2,a,b,a,b,5",2380
75611,75623,1,2,5,"2,a,b,5",1380
75611,75623,2,2,5,"2,a,b,61,b,5",2314
75611,75623,3,2,5,"2,a,b,61,6,5",2341
75611,75623,4,2,5,"2,a,b,a,b,5",2380
75624,75612,1,2,5,"2,a,b,5",1380
75624,75612,2,2,5,"2,a,b,61,b,5",2314
75624,75612,3,2,5,"2,a,b,61,6,5",2341
75624,75612,4,2,5,"2,a,b,a,b,5",2380
75613,75628,1,2,61,"2,a,b,61",1327
75613,75628,2,2,61,"2,f,e,d,61",1463
75613,75628,3,2,61,"2,a,d,61",1536
75613,75628,4,2,61,"2,f,e,c,61",1665
75625,75614,1,2,5,"2,a,b,5",1380
75625,75614,2,2,5,"2,a,b,61,b,5",2314
75625,75614,3,2,5,"2,a,b,61,6,5",2341
75625,75614,4,2,5,"2,a,b,a,b,5",2380
75615,75626,1,2,5,"2,a,b,5",1380
75615,75626,2,2,5,"2,a,b,61,b,5",2314
75615,75626,3,2,5,"2,a,b,61,6,5",2341
75615,75626,4,2,5,"2,a,b,a,b,5",2380
75627,75616,1,2,5,"2,a,b,5",1380
75627,75616,2,2,5,"2,a,b,61,b,5",2314
75627,75616,3,2,5,"2,a,b,61,6,5",2341
75627,75616,4,2,5,"2,a,b,a,b,5",2380
75636,75638,1,2,61,"2,a,b,61",1327
75636,75638,2,2,61,"2,f,e,d,61",1463
75636,75638,3,2,61,"2,a,d,61",1536
75636,75638,4,2,61,"2,f,e,c,61",1665
75640,75639,1,5,61,"5,b,61",987
75640,75639,2,5,61,"5,6,61",1014
75640,75639,3,5,61,"5,6,62,c,61",1569
75640,75639,4,5,61,"5,6,62,6,61",1704
75659,75660,1,2,61,"2,a,b,61",1327
75659,75660,2,2,61,"2,f,e,d,61",1463
75659,75660,3,2,61,"2,a,d,61",1536
75659,75660,4,2,61,"2,f,e,c,61",1665
75665,75667,1,2,61,"2,a,b,61",1327
75665,75667,2,2,61,"2,f,e,d,61",1463
75665,75667,3,2,61,"2,a,d,61",1536
75665,75667,4,2,61,"2,f,e,c,61",1665
75667,75663,1,1,61,"1,f,e,d,61",1833
75667,75663,2,1,61,"1,f,e,c,61",2035
75667,75663,3,1,61,"1,2,a,b,61",2053
75667,75663,4,1,61,"1,f,e,f,e,d,61",2093
75693,75689,1,2,61,"2,a,b,61",1327
75693,75689,2,2,61,"2,f,e,d,61",1463
75693,75689,3,2,61,"2,a,d,61",1536
75693,75689,4,2,61,"2,f,e,c,61",1665
75694,75698,1,2,5,"2,a,b,5",1380
75694,75698,2,2,5,"2,a,b,61,b,5",2314
75694,75698,3,2,5,"2,a,b,61,6,5",2341
75694,75698,4,2,5,"2,a,b,a,b,5",2380
75711,75710,1,61,62,"61,c,62",790
75711,75710,2,61,62,"61,6,62",925
75711,75710,3,61,62,"61,b,5,6,62",1766
75711,75710,4,61,62,"61,6,5,6,62",1793
75718,75715,1,61,62,"61,c,62",790
75718,75715,2,61,62,"61,6,62",925
75718,75715,3,61,62,"61,b,5,6,62",1766
75718,75715,4,61,62,"61,6,5,6,62",1793
75715,75712,1,2,61,"2,a,b,61",1327
75715,75712,2,2,61,"2,f,e,d,61",1463
75715,75712,3,2,61,"2,a,d,61",1536
75715,75712,4,2,61,"2,f,e,c,61",1665
75713,75716,1,2,61,"2,a,b,61",1327
75713,75716,2,2,61,"2,f,e,d,61",1463
75713,75716,3,2,61,"2,a,d,61",1536
75713,75716,4,2,61,"2,f,e,c,61",1665
75714,75717,1,2,61,"2,a,b,61",1327
75714,75717,2,2,61,"2,f,e,d,61",1463
75714,75717,3,2,61,"2,a,d,61",1536
75714,75717,4,2,61,"2,f,e,c,61",1665
75724,75728,1,13,61,"13,1,f,e,d,61",2718
75724,75728,2,13,61,"13,1,f,e,c,61",2920
75724,75728,3,13,61,"13,1,2,a,b,61",2938
75724,75728,4,13,61,"13,1,f,e,f,e,d,61",2978
75729,75721,1,1,61,"1,f,e,d,61",1833
75729,75721,2,1,61,"1,f,e,c,61",2035
75729,75721,3,1,61,"1,2,a,b,61",2053
75729,75721,4,1,61,"1,f,e,f,e,d,61",2093
75726,75730,1,13,61,"13,1,f,e,d,61",2718
75726,75730,2,13,61,"13,1,f,e,c,61",2920
75726,75730,3,13,61,"13,1,2,a,b,61",2938
75726,75730,4,13,61,"13,1,f,e,f,e,d,61",2978
75730,75727,1,13,61,"13,1,f,e,d,61",2718
75730,75727,2,13,61,"13,1,f,e,c,61",2920
75730,75727,3,13,61,"13,1,2,a,b,61",2938
75730,75727,4,13,61,"13,1,f,e,f,e,d,61",2978
