LkID,LaneID,LaneType,code,Approach,E1,N1,E2,N2
12PSF06T3G0,12PSB06T4V012PSF06T3G0090012,直行,4,北向南,814219.502,2507399.242,814222.995,2507399.533
12PSF06T3G0,12PSB06T4V012PSF06T3G0090011,左转,4,北向南,814222.995,2507399.533,814226.464,2507399.822
12PSF06T3G0,12PT206T3H012PSF06T3G0090014,直行,1,东向西,814248.951,2507389,814249.248,2507385.6
12PSF06T3G0,12PT206T3H012PSF06T3G0090013,直行,1,东向西,814249.248,2507385.6,814249.543,2507382.192
12PSF06T3G0,12PT206T3H012PSF06T3G0090012,直行,1,东向西,814249.543,2507382.192,814249.837,2507378.891
12PSF06T3G0,12PT206T3H012PSF06T3G0090011,左转,1,东向西,814249.837,2507378.891,814250.115,2507375.497
12PSF06T3G0,12PSH06T2U012PSF06T3G0090012,直右,3,南向北,814241.3,2507350.282,814237.474,2507350.316
12PSF06T3G0,12PSH06T2U012PSF06T3G0090011,直左,3,南向北,814237.474,2507350.316,814234.1,2507350.346
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090014,直行,2,西向东,814213.769,2507361.473,814213.285,2507364.94
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090013,直行,2,西向东,814213.285,2507364.939,814212.817,2507368.29
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090012,直左,2,西向东,814212.817,2507368.29,814212.37,2507371.484
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090011,左转,2,西向东,814212.37,2507371.484,814211.877,2507374.872
